MAKE A COPY OF THIS SHEET,Instruction Metadata,,,,ROM Input,,Control Signals,,,,,,,,ROM Output,INTERMEDIATE CALCULATIONS (DO NOT MODIFY),,,,,,
,,,,,,,addi is provided as an example,,,,,,,,,,,,,,,
Instruction,Type,Opcode,Funct3,Funct7,Binary,Decimal,RegWEn,ImmSel,BrUn,ASel,BSel,ALUSel,MemRW,WBSel,Hex,Binary,Bin0:7,Bin:8:16,Hex:0:7,Hex:8:17,Decimal Index,Binary Index
,,,,,,,1 binary digit,3 binary digits,1 binary digit,1 binary digit,1 binary digit,4 binary digits,1 binary digit,2 binary digits,,,,,,,,
"add rd, rs1, rs2",R,0b0110011,0b000,0b0000000,0b000000,0,,0,0,0,0,0,0,1,0,,,,0,0,0,0
"mul rd, rs1, rs2",R,0b0110011,0b000,0b0000001,0b000001,1,,0,0,0,0,1000,0,1,0,,,,0,0,1,1
"sub rd, rs1, rs2",R,0b0110011,0b000,0b0100000,0b000010,2,,0,0,0,0,1100,0,1,0,,,,0,0,2,10
"sll rd, rs1, rs2",R,0b0110011,0b001,0b0000000,0b000011,3,,0,0,0,0,1,0,1,0,,,,0,0,3,11
"mulh rd, rs1, rs2",R,0b0110011,0b001,0b0000001,0b000100,4,,0,0,0,0,1000,0,1,0,,,,0,0,4,100
"mulhu rd, rs1, rs2",R,0b0110011,0b011,0b0000001,0b000101,5,,0,0,0,0,0,0,1,0,,,,0,0,5,101
"slt rd, rs1, rs2",R,0b0110011,0b010,0b0000000,0b000110,6,,0,0,0,0,0,0,1,0,,,,0,0,6,110
"xor rd, rs1, rs2",R,0b0110011,0b100,0b0000000,0b000111,7,,0,0,0,0,0,0,1,0,,,,0,0,7,111
"srl rd, rs1, rs2",R,0b0110011,0b101,0b0000000,0b001000,8,,0,0,0,0,0,0,1,0,,,,0,0,8,1000
"sra rd, rs1, rs2",R,0b0110011,0b101,0b0100000,0b001001,9,,0,0,0,0,0,0,1,0,,,,0,0,9,1001
"or rd, rs1, rs2",R,0b0110011,0b110,0b0000000,0b001010,10,,0,0,0,0,0,0,1,0,,,,0,0,10,1010
"and rd, rs1, rs2",R,0b0110011,0b111,0b0000000,0b001011,11,,0,0,0,0,0,0,1,0,,,,0,0,11,1011
"lb rd, offset(rs1)",I,0b0000011,0b000,,0b001100,12,,1,0,0,0,0,0,1,0,,,,0,0,12,1100
"lh rd, offset(rs1)",I,0b0000011,0b001,,0b001101,13,,1,0,0,0,0,0,1,0,,,,0,0,13,1101
"lw rd, offset(rs1)",I,0b0000011,0b010,,0b001110,14,,1,0,0,0,0,0,1,0,,,,0,0,14,1110
"addi rd, rs1, imm",I,0b0010011,0b000,,0b001111,15,1,1,0,0,1,0,0,1,1041,1000001000001,1000001,10000,41,10,15,1111
"slli rd, rs1, imm",I,0b0010011,0b001,0b0000000,0b010000,16,,,,,,,,,0,,,,0,0,16,10000
"slti rd, rs1, imm",I,0b0010011,0b010,,0b010001,17,,,,,,,,,0,,,,0,0,17,10001
"xori rd, rs1, imm",I,0b0010011,0b100,,0b010010,18,,,,,,,,,0,,,,0,0,18,10010
"srli rd, rs1, imm",I,0b0010011,0b101,0b0000000,0b010011,19,,,,,,,,,0,,,,0,0,19,10011
"srai rd, rs1, imm",I,0b0010011,0b101,0b0100000,0b010100,20,,,,,,,,,0,,,,0,0,20,10100
"ori rd, rs1, imm",I,0b0010011,0b110,,0b010101,21,,,,,,,,,0,,,,0,0,21,10101
"andi rd, rs1, imm",I,0b0010011,0b111,,0b010110,22,,,,,,,,,0,,,,0,0,22,10110
"sb rs2, offset(rs1)",S,0b0100011,0b000,,0b010111,23,,,,,,,,,0,,,,0,0,23,10111
"sh rs2, offset(rs1)",S,0b0100011,0b001,,0b011000,24,,,,,,,,,0,,,,0,0,24,11000
"sw rs2, offset(rs1)",S,0b0100011,0b010,,0b011001,25,,,,,,,,,0,,,,0,0,25,11001
"beq rs1, rs2, offset",B,0b1100011,0b000,,0b011010,26,,,,,,,,,0,,,,0,0,26,11010
"bne rs1, rs2, offset",B,0b1100011,0b001,,0b011011,27,,,,,,,,,0,,,,0,0,27,11011
"blt rs1, rs2, offset",B,0b1100011,0b100,,0b011100,28,,,,,,,,,0,,,,0,0,28,11100
"bge rs1, rs2, offset",B,0b1100011,0b101,,0b011101,29,,,,,,,,,0,,,,0,0,29,11101
"bltu rs1, rs2, offset",B,0b1100011,0b110,,0b011110,30,,,,,,,,,0,,,,0,0,30,11110
"bgeu rs1, rs2, offset",B,0b1100011,0b111,,0b011111,31,,,,,,,,,0,,,,0,0,31,11111
"auipc rd, offset",U,0b0010111,,,0b100000,32,,,,,,,,,0,,,,0,0,32,100000
"lui rd, offset",U,0b0110111,,,0b100001,33,,,,,,,,,0,,,,0,0,33,100001
"jal rd, imm",J,0b1101111,,,0b100010,34,,,,,,,,,0,,,,0,0,34,100010
"jalr rd, rs1, imm",I,0b1100111,0b000,,0b100011,35,,,,,,,,,0,,,,0,0,35,100011
